Model_Size,Conversation_Setting,Method,Run,Accuracy,Weighted_F1,Macro_F1,Binary_F1,Binary_Recall,Binary_Precision,Turn_F1,Trajectory_F1,Post_Clarification_F1
3B,100,ORPO,1337,0.84200000,0.82866603,0.69188527,0.47682119,0.39560440,0.60000000,0.64930000,0.68696000,0.47050000
3B,100,ORPO,2024,0.83800000,0.82750405,0.69399551,0.48407643,0.41758242,0.57575758,0.64388000,0.68072000,0.49303030
3B,150,SFT,7,0.82000000,0.81103686,0.66852294,0.44444444,0.39560440,0.50704225,0.64470000,0.69482000,0.52690141
3B,150,SFT,42,0.82400000,0.81623620,0.67907574,0.46341463,0.41758242,0.52054795,0.64416000,0.68982000,0.51972603
3B,150,SFT,123,0.81600000,0.80788330,0.66448827,0.43902439,0.39560440,0.49315068,0.64046000,0.70606000,0.53767123
3B,150,SFT,1337,0.81000000,0.80214625,0.65523498,0.42424242,0.38461538,0.47297297,0.64178000,0.69748000,0.52513514
3B,150,SFT,2024,0.81600000,0.80788330,0.66448827,0.43902439,0.39560440,0.49315068,0.65014000,0.70310000,0.61068493
3B,150,Vanilla-DPO,7,0.81800000,0.80732518,0.65973422,0.42767296,0.37362637,0.50000000,0.64700000,0.68942000,0.49573529
3B,150,Vanilla-DPO,42,0.82000000,0.80998214,0.66517857,0.43750000,0.38461538,0.50724638,0.64514000,0.69116000,0.51840580
3B,150,Vanilla-DPO,123,0.82800000,0.81738802,0.67677922,0.45569620,0.39560440,0.53731343,0.64184000,0.70182000,0.55149254
3B,150,Vanilla-DPO,1337,0.82800000,0.81943522,0.68325525,0.46913580,0.41758242,0.53521127,0.64152000,0.70000000,0.54098592
3B,150,Vanilla-DPO,2024,0.82200000,0.81155979,0.66721259,0.44025157,0.38461538,0.51470588,0.64420000,0.69770000,0.52147059
3B,150,Dyn-Beta,7,0.80800000,0.79843932,0.64642447,0.40740741,0.36263736,0.46478873,0.64456000,0.69346000,0.55309859
3B,150,Dyn-Beta,42,0.82800000,0.81631596,0.67341111,0.44871795,0.38461538,0.53846154,0.64150000,0.69072000,0.50092308
3B,150,Dyn-Beta,123,0.82400000,0.81420476,0.67261905,0.45000000,0.39560440,0.52173913,0.64212000,0.69386000,0.52536232
3B,150,Dyn-Beta,1337,0.81000000,0.79998653,0.64835393,0.40993789,0.36263736,0.47142857,0.63388000,0.69696000,0.55042857
3B,150,Dyn-Beta,2024,0.82800000,0.81738802,0.67677922,0.45569620,0.39560440,0.53731343,0.64196000,0.70414000,0.55014925
3B,150,Conf-Filt,7,0.82200000,0.80934056,0.66024050,0.42580645,0.36263736,0.51562500,0.64670000,0.69766000,0.52515625
3B,150,Conf-Filt,42,0.83200000,0.81950741,0.67762734,0.45454545,0.38461538,0.55555556,0.64292000,0.69954000,0.57000000
3B,150,Conf-Filt,123,0.83000000,0.82002902,0.68216933,0.46540881,0.40659341,0.54411765,0.64338000,0.70162000,0.59191176
3B,150,Conf-Filt,1337,0.81800000,0.80840815,0.66316008,0.43478261,0.38461538,0.50000000,0.63776000,0.69018000,0.55042857
3B,150,Conf-Filt,2024,0.83400000,0.81999089,0.67628453,0.45033113,0.37362637,0.56666667,0.64660000,0.69134000,0.44166667
3B,150,UCP-Clarify,7,0.81000000,0.80108289,0.65183866,0.41717791,0.37362637,0.47222222,0.65072000,0.69528000,0.48138889
3B,150,UCP-Clarify,42,0.82200000,0.81155979,0.66721259,0.44025157,0.38461538,0.51470588,0.64242000,0.70108000,0.53867647
3B,150,UCP-Clarify,123,0.81600000,0.80889752,0.66773569,0.44578313,0.40659341,0.49333333,0.63918000,0.70412000,0.53520000
3B,150,UCP-Clarify,1337,0.81600000,0.80788330,0.66448827,0.43902439,0.39560440,0.49315068,0.64454000,0.71000000,0.58671233
3B,150,UCP-Clarify,2024,0.82200000,0.81155979,0.66721259,0.44025157,0.38461538,0.51470588,0.64562000,0.69910000,0.52985294
3B,150,IPO,7,0.81800000,0.80945835,0.66649808,0.44171779,0.39560440,0.50000000,0.62648000,0.70412000,0.59194444
3B,150,IPO,42,0.80600000,0.79689516,0.64450895,0.40490798,0.36263736,0.45833333,0.64038000,0.68144000,0.47555556
3B,150,IPO,123,0.81800000,0.80732518,0.65973422,0.42767296,0.37362637,0.50000000,0.63758000,0.69494000,0.57235294
3B,150,IPO,1337,0.82000000,0.81494826,0.68107725,0.47058824,0.43956044,0.50632911,0.63002000,0.70560000,0.61075949
3B,150,IPO,2024,0.80400000,0.79643431,0.64606628,0.40963855,0.37362637,0.45333333,0.63246000,0.69426000,0.56133333
3B,150,SimPO,7,0.81600000,0.80464764,0.65422893,0.41772152,0.36263736,0.49253731,0.63616000,0.69202000,0.53820896
3B,150,SimPO,42,0.83000000,0.82002902,0.68216933,0.46540881,0.40659341,0.54411765,0.62888000,0.69524000,0.52676471
3B,150,SimPO,123,0.81600000,0.80575952,0.65773810,0.42500000,0.37362637,0.49275362,0.63998000,0.68684000,0.51072464
3B,150,SimPO,1337,0.81800000,0.80732518,0.65973422,0.42767296,0.37362637,0.50000000,0.63320000,0.69434000,0.57117647
3B,150,SimPO,2024,0.82600000,0.81579440,0.67469096,0.45283019,0.39560440,0.52941176,0.63444000,0.69128000,0.51985294
3B,150,ORPO,7,0.82600000,0.81579440,0.67469096,0.45283019,0.39560440,0.52941176,0.64292000,0.69738000,0.55720588
3B,150,ORPO,42,0.83200000,0.82265000,0.68750000,0.47500000,0.41758242,0.55072464,0.64818000,0.69338000,0.56985507
3B,150,ORPO,123,0.82800000,0.81943522,0.68325525,0.46913580,0.41758242,0.53521127,0.65512000,0.70246000,0.50985915
3B,150,ORPO,1337,0.81600000,0.80464764,0.65422893,0.41772152,0.36263736,0.49253731,0.63592000,0.69552000,0.53537313
3B,150,ORPO,2024,0.82800000,0.81842738,0.68005952,0.46250000,0.40659341,0.53623188,0.63820000,0.70218000,0.55347826
