
Metrics : Accuracy, Turn-F1, Trajectory-F1, Post-Clarification F1.


Size   Conv  Method           Acc               TurnF1            TrajF1            PostF1
----   ----  -----------  ---------------   ---------------   ---------------   ---------------
3B     50    UC-ACT       79.80+/-0.58  59.86+/-0.28     65.10+/-0.33     40.24+/-0.88
3B     50    IPO          78.60+/-1.06  59.57+/-0.46     63.91+/-0.60     34.51+/-3.37
3B     50    SimPO        77.20+/-0.63  59.68+/-0.34     62.90+/-0.84     33.46+/-4.20
3B     50    ORPO         77.20+/-0.89  60.23+/-0.47     63.80+/-0.57     35.76+/-3.03

3B     100   SFT          78.00+/-0.65  36.74+/-0.25     35.98+/-0.60      7.24+/-1.02
3B     100   Vanilla-DPO  82.20+/-0.89  64.22+/-0.42     68.81+/-0.42     50.21+/-2.64
3B     100   Dyn-Beta     83.40+/-0.84  65.33+/-0.42     68.11+/-1.07     44.29+/-2.16
3B     100   Beta-Filt    83.00+/-0.86  64.61+/-0.27     70.36+/-0.81     50.92+/-3.55
3B     100   UC-ACT       83.60+/-0.79  65.27+/-0.60     69.00+/-0.67     43.82+/-4.79
3B     100   IPO          82.00+/-0.77  64.41+/-0.61     69.74+/-0.82     53.84+/-4.35
3B     100   SimPO        82.80+/-0.50  64.00+/-0.24     67.45+/-0.72     43.07+/-4.15
3B     100   ORPO         83.60+/-0.23  65.07+/-0.42     67.99+/-0.57     42.29+/-3.99

3B     150   SFT          79.20+/-0.91  36.64+/-0.20     35.65+/-0.62      9.19+/-3.52
3B     150   Vanilla-DPO  81.80+/-0.46  63.97+/-0.23     69.20+/-0.55     51.15+/-2.16
3B     150   Dyn-Beta     81.60+/-0.98  63.47+/-0.40     69.78+/-0.51     58.37+/-2.26
3B     150   Beta-Filt    81.80+/-0.69  64.14+/-0.36     69.72+/-0.51     51.05+/-5.81
3B     150   UC-ACT       82.60+/-0.50  64.62+/-0.43     69.39+/-0.55     54.14+/-3.74
3B     150   IPO          80.60+/-0.76  64.04+/-0.56     68.14+/-0.97     47.56+/-5.21
3B     150   SimPO        81.60+/-0.64  64.00+/-0.41     68.68+/-0.33     51.07+/-2.34
3B     150   ORPO         81.60+/-0.60  63.59+/-0.78     69.34+/-0.40     53.54+/-2.33
