Model_Size,Method,Conversation_Setting,Run,Accuracy,Weighted_F1,Macro_F1,Binary_F1,Binary_Recall,Binary_Precision,Turn_Level_SBERT,Trajectory_SBERT,Post_Clarification_SBERT,Post_Clarification_Count
3B,SFT,150,1,0.63461538,0.60517272,0.60517272,0.49735450,0.36153846,0.79661017,0.68584748,0.68189292,0.31205971,59
3B,SFT,150,2,0.63846154,0.61020734,0.61020734,0.50526316,0.36923077,0.80000000,0.68100220,0.68466083,0.32052245,60
3B,SFT,150,3,0.65000000,0.62510497,0.62510497,0.52849741,0.39230769,0.80952381,0.67812981,0.67006099,0.25526255,63
3B,SFT,150,4,0.65384615,0.62842988,0.62842988,0.53125000,0.39230769,0.82258065,0.67671787,0.67241587,0.25620582,62
3B,SFT,150,5,0.63076923,0.60191388,0.60191388,0.49473684,0.36153846,0.78333333,0.68074446,0.68312104,0.31009889,60
3B,UCP-Clarify,50,1,0.53846154,0.41353383,0.41353383,0.14285714,0.07692308,1.00000000,0.67578697,0.74877475,0.23770371,10
3B,UCP-Clarify,50,2,0.53461538,0.41129138,0.41129138,0.14184397,0.07692308,0.90909091,0.68179474,0.75688648,0.37286687,11
3B,UCP-Clarify,50,3,0.53461538,0.41644562,0.41644562,0.15384615,0.08461538,0.84615385,0.68270296,0.74485948,0.37960467,13
3B,UCP-Clarify,50,4,0.53076923,0.39828515,0.39828515,0.11594203,0.06153846,1.00000000,0.67845766,0.75469198,0.31609364,8
3B,UCP-Clarify,50,5,0.52692308,0.39613663,0.39613663,0.11510791,0.06153846,0.88888889,0.68381248,0.76482842,0.44648345,9
3B,UCP-Clarify,100,1,0.61923077,0.57122154,0.57122154,0.42774566,0.28461538,0.86046512,0.67264302,0.68401327,0.18576503,43
3B,UCP-Clarify,100,2,0.61538462,0.57056025,0.57056025,0.43181818,0.29230769,0.82608696,0.66907046,0.69301226,0.25403675,46
3B,UCP-Clarify,100,3,0.62307692,0.57914905,0.57914905,0.44318182,0.30000000,0.84782609,0.67026974,0.68119587,0.21376313,46
3B,UCP-Clarify,100,4,0.62307692,0.58144425,0.58144425,0.44943820,0.30769231,0.83333333,0.67268903,0.68546213,0.26425095,48
3B,UCP-Clarify,100,5,0.64230769,0.60171962,0.60171962,0.47457627,0.32307692,0.89361702,0.66721459,0.68179309,0.20722661,47
3B,UCP-Clarify,150,1,0.65384615,0.63297572,0.63297572,0.54545455,0.41538462,0.79411765,0.67262085,0.67001393,0.30628955,68
3B,UCP-Clarify,150,2,0.66538462,0.64589302,0.64589302,0.56281407,0.43076923,0.81159420,0.68048031,0.66533128,0.29782826,69
3B,UCP-Clarify,150,3,0.65769231,0.63634078,0.63634078,0.54822335,0.41538462,0.80597015,0.67711746,0.66005123,0.27069553,67
3B,UCP-Clarify,150,4,0.64230769,0.61846154,0.61846154,0.52307692,0.39230769,0.78461538,0.67847507,0.65993292,0.26571243,65
3B,UCP-Clarify,150,5,0.64615385,0.62481962,0.62481962,0.53535354,0.40769231,0.77941176,0.68194931,0.65765585,0.24941470,68
3B,Vanilla-DPO,50,1,0.53461538,0.40595555,0.40595555,0.12949640,0.06923077,1.00000000,0.68437249,0.75916383,0.35249288,9
3B,Vanilla-DPO,50,2,0.53846154,0.41873463,0.41873463,0.15492958,0.08461538,0.91666667,0.67831170,0.75435238,0.37855488,12
